Freq.	V(out)
1.02128356119270e-002	-3.67493162882053e-002,6.79055577548235e-002
1.02173175255424e-002	-3.67813282814147e-002,6.79386221441266e-002
1.02218014060503e-002	-3.68133679406142e-002,6.79717053123857e-002
1.02262872543139e-002	-3.68454352893292e-002,6.80048072733978e-002
1.02307750711966e-002	-3.68775303511043e-002,6.80379280409732e-002
1.02352648575625e-002	-3.69096531495029e-002,6.80710676289350e-002
1.02397566142759e-002	-3.69418037081094e-002,6.81042260511203e-002
1.02442503422014e-002	-3.69739820505250e-002,6.81374033213787e-002
1.02487460422041e-002	-3.70061882003729e-002,6.81705994535737e-002
1.02532437151495e-002	-3.70384221812931e-002,6.82038144615816e-002
1.02577433619034e-002	-3.70706840169485e-002,6.82370483592925e-002
1.02622449833319e-002	-3.71029737310181e-002,6.82703011606094e-002
1.02667485803018e-002	-3.71352913472006e-002,6.83035728794488e-002
1.02712541536799e-002	-3.71676368892174e-002,6.83368635297409e-002
1.02757617043336e-002	-3.72000103808057e-002,6.83701731254287e-002
1.02802712331306e-002	-3.72324118457248e-002,6.84035016804691e-002
1.02847827409391e-002	-3.72648413077521e-002,6.84368492088322e-002
1.02892962286275e-002	-3.72972987906837e-002,6.84702157245012e-002
1.02938116970647e-002	-3.73297843183362e-002,6.85036012414732e-002
1.02983291471199e-002	-3.73622979145479e-002,6.85370057737587e-002
1.03028485796629e-002	-3.73948396031722e-002,6.85704293353813e-002
1.03073699955635e-002	-3.74274094080868e-002,6.86038719403788e-002
1.03118933956923e-002	-3.74600073531843e-002,6.86373336028016e-002
1.03164187809200e-002	-3.74926334623815e-002,6.86708143367144e-002
1.03209461521177e-002	-3.75252877596108e-002,6.87043141561948e-002
1.03254755101570e-002	-3.75579702688277e-002,6.87378330753345e-002
1.03300068559098e-002	-3.75906810140045e-002,6.87713711082383e-002
1.03345401902485e-002	-3.76234200191342e-002,6.88049282690247e-002
1.03390755140457e-002	-3.76561873082305e-002,6.88385045718262e-002
1.03436128281745e-002	-3.76889829053265e-002,6.88721000307884e-002
1.03481521335083e-002	-3.77218068344735e-002,6.89057146600708e-002
1.03526934309211e-002	-3.77546591197425e-002,6.89393484738460e-002
1.03572367212870e-002	-3.77875397852277e-002,6.89730014863012e-002
1.03617820054806e-002	-3.78204488550384e-002,6.90066737116365e-002
1.03663292843770e-002	-3.78533863533072e-002,6.90403651640660e-002
1.03708785588515e-002	-3.78863523041844e-002,6.90740758578174e-002
1.03754298297798e-002	-3.79193467318416e-002,6.91078058071322e-002
1.03799830980382e-002	-3.79523696604682e-002,6.91415550262654e-002
1.03845383645031e-002	-3.79854211142760e-002,6.91753235294862e-002
1.03890956300515e-002	-3.80185011174942e-002,6.92091113310770e-002
1.03936548955607e-002	-3.80516096943747e-002,6.92429184453346e-002
1.03982161619083e-002	-3.80847468691855e-002,6.92767448865688e-002
1.04027794299724e-002	-3.81179126662183e-002,6.93105906691042e-002
1.04073447006315e-002	-3.81511071097823e-002,6.93444558072783e-002
1.04119119747644e-002	-3.81843302242062e-002,6.93783403154428e-002
1.04164812532503e-002	-3.82175820338425e-002,6.94122442079636e-002
1.04210525369689e-002	-3.82508625630577e-002,6.94461674992198e-002
1.04256258268002e-002	-3.82841718362433e-002,6.94801102036049e-002
1.04302011236245e-002	-3.83175098778089e-002,6.95140723355261e-002
1.04347784283225e-002	-3.83508767121839e-002,6.95480539094047e-002
1.04393577417756e-002	-3.83842723638177e-002,6.95820549396756e-002
1.04439390648652e-002	-3.84176968571801e-002,6.96160754407879e-002
1.04485223984732e-002	-3.84511502167600e-002,6.96501154272045e-002
1.04531077434820e-002	-3.84846324670696e-002,6.96841749134027e-002
1.04576951007742e-002	-3.85181436326362e-002,6.97182539138732e-002
1.04622844712330e-002	-3.85516837380114e-002,6.97523524431211e-002
1.04668758557418e-002	-3.85852528077630e-002,6.97864705156651e-002
1.04714692551846e-002	-3.86188508664843e-002,6.98206081460389e-002
1.04760646704455e-002	-3.86524779387820e-002,6.98547653487889e-002
1.04806621024092e-002	-3.86861340492896e-002,6.98889421384769e-002
1.04852615519607e-002	-3.87198192226565e-002,6.99231385296780e-002
1.04898630199855e-002	-3.87535334835540e-002,6.99573545369815e-002
1.04944665073694e-002	-3.87872768566719e-002,6.99915901749910e-002
1.04990720149985e-002	-3.88210493667220e-002,7.00258454583241e-002
1.05036795437595e-002	-3.88548510384354e-002,7.00601204016126e-002
1.05082890945393e-002	-3.88886818965654e-002,7.00944150195029e-002
1.05129006682253e-002	-3.89225419658814e-002,7.01287293266545e-002
1.05175142657052e-002	-3.89564312711773e-002,7.01630633377424e-002
1.05221298878673e-002	-3.89903498372648e-002,7.01974170674548e-002
1.05267475355999e-002	-3.90242976889760e-002,7.02317905304946e-002
1.05313672097921e-002	-3.90582748511654e-002,7.02661837415791e-002
1.05359889113332e-002	-3.90922813487051e-002,7.03005967154395e-002
1.05406126411129e-002	-3.91263172064906e-002,7.03350294668216e-002
1.05452384000212e-002	-3.91603824494342e-002,7.03694820104852e-002
1.05498661889486e-002	-3.91944771024708e-002,7.04039543612045e-002
1.05544960087861e-002	-3.92286011905554e-002,7.04384465337683e-002
1.05591278604248e-002	-3.92627547386637e-002,7.04729585429795e-002
1.05637617447565e-002	-3.92969377717905e-002,7.05074904036553e-002
1.05683976626733e-002	-3.93311503149525e-002,7.05420421306275e-002
1.05730356150674e-002	-3.93653923931869e-002,7.05766137387423e-002
1.05776756028318e-002	-3.93996640315496e-002,7.06112052428600e-002
1.05823176268597e-002	-3.94339652551184e-002,7.06458166578557e-002
1.05869616880447e-002	-3.94682960889919e-002,7.06804479986188e-002
1.05916077872809e-002	-3.95026565582878e-002,7.07150992800530e-002
1.05962559254625e-002	-3.95370466881456e-002,7.07497705170767e-002
